id,name,gender,type,category_id,category_name
sr:competition:3711,"ATP Challenger San Marino, San Marino Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3715,"ATP Challenger Segovia, Spain Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3717,"ATP Challenger Segovia, Spain Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3721,"ATP Challenger Vancouver, Canada Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3723,"ATP Challenger Vancouver, Canada Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3727,"ATP Challenger Binghamton, USA Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3729,"ATP Challenger Binghamton, USA Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3733,"ATP Challenger Samarkand, Uzbekistan Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3735,"ATP Challenger Samarkand, Uzbekistan Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3745,"ATP Challenger Karshi, Uzbekistan Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3747,"ATP Challenger Karshi, Uzbekistan Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3751,"Salvador, Brazil Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3761,"ATP Challenger Almaty, Kazakhstan Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3777,"ATP Challenger Como, Italy Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3779,"ATP Challenger Como, Italy Men Doubles",men,doubles,sr:category:72,Challenger
